applicant_id,gender,married,dependents,education
A00765,Male,Yes,3+,Not Graduate
A00766,Female,No,2,Not Graduate
A00767,Male,Yes,0,Not Graduate
A00768,Female,No,2,Graduate
A00769,Male,No,2,Not Graduate
A00770,Female,Yes,3+,Not Graduate
A00771,Female,Yes,2,Graduate
A00772,Male,Yes,2,Graduate
A00773,Female,No,0,Graduate
A00774,Female,Yes,1,Not Graduate
A00775,Female,No,1,Not Graduate
A00776,Female,Yes,2,Not Graduate
A00777,Female,Yes,3+,Not Graduate
A00778,Male,Yes,3+,Graduate
A00779,Female,Yes,2,Not Graduate
A00780,Female,Yes,1,Not Graduate
A00781,Male,No,3+,Not Graduate
A00782,Male,Yes,1,Not Graduate
A00783,Male,No,2,Not Graduate
A00784,Male,Yes,0,Not Graduate
A00785,Male,Yes,0,Not Graduate
A00786,Male,Yes,0,Graduate
A00787,Female,No,2,Graduate
A00788,Male,Yes,1,Graduate
A00789,Female,No,1,Not Graduate
A00790,Male,No,0,Not Graduate
A00791,Female,Yes,2,Not Graduate
A00792,Female,Yes,2,Not Graduate
A00793,Male,No,2,Graduate
A00794,Female,Yes,1,Not Graduate
A00795,Male,Yes,2,Not Graduate
A00796,Female,No,0,Not Graduate
A00797,Male,Yes,2,Graduate
A00798,Male,No,2,Not Graduate
A00799,Female,Yes,2,Graduate
A00800,Male,No,2,Not Graduate
A00801,Female,Yes,0,Not Graduate
A00802,Male,Yes,3+,Not Graduate
A00803,Male,No,0,Not Graduate
A00804,Male,No,2,Graduate
A00805,Male,No,1,Graduate
A00806,Female,Yes,3+,Not Graduate
A00807,Male,No,0,Graduate
A00808,Female,No,0,Not Graduate
A00809,Male,No,0,Graduate
A00810,Female,No,1,Graduate
A00811,Male,No,3+,Graduate
A00812,Female,No,3+,Not Graduate
A00813,Male,Yes,0,Not Graduate
A00814,Female,Yes,1,Graduate
A00815,Male,Yes,1,Graduate
A00816,Female,Yes,3+,Graduate
A00817,Male,Yes,1,Not Graduate
A00818,Male,Yes,1,Not Graduate
A00819,Male,No,3+,Graduate
A00820,Male,Yes,1,Not Graduate
A00821,Female,No,0,Graduate
A00822,Female,No,2,Graduate
A00823,Female,No,2,Not Graduate
A00824,Male,No,1,Graduate
A00825,Female,No,3+,Graduate
A00826,Female,No,0,Not Graduate
A00827,Male,Yes,3+,Graduate
A00828,Female,No,0,Not Graduate
A00829,Male,No,0,Not Graduate
A00830,Female,No,0,Not Graduate
A00831,Female,Yes,0,Not Graduate
A00832,Female,Yes,3+,Graduate
A00833,Female,No,1,Not Graduate
A00834,Female,No,0,Graduate
A00835,Male,No,1,Not Graduate
A00836,Male,Yes,0,Graduate
A00837,Female,No,1,Not Graduate
A00838,Male,Yes,3+,Graduate
A00839,Female,Yes,1,Graduate
A00840,Male,Yes,0,Not Graduate
A00841,Female,No,0,Not Graduate
A00842,Female,Yes,0,Graduate
A00843,Female,No,3+,Graduate
A00844,Male,Yes,2,Not Graduate
A00845,Male,Yes,1,Not Graduate
A00846,Male,No,0,Not Graduate
A00847,Female,Yes,0,Not Graduate
A00848,Female,Yes,2,Not Graduate
A00849,Female,No,3+,Not Graduate
A00850,Female,No,2,Not Graduate
A00851,Female,No,0,Graduate
A00852,Male,Yes,1,Not Graduate
A00853,Male,No,2,Not Graduate
A00854,Male,No,0,Graduate
A00855,Female,Yes,0,Not Graduate
A00856,Male,Yes,2,Graduate
A00857,Male,Yes,3+,Graduate
A00858,Male,No,1,Not Graduate
A00859,Male,Yes,0,Not Graduate
A00860,Male,Yes,2,Graduate
A00861,Male,Yes,2,Not Graduate
A00862,Female,No,3+,Graduate
A00863,Male,Yes,1,Graduate
A00864,Male,Yes,3+,Graduate
A00865,Male,Yes,1,Not Graduate
A00866,Male,No,3+,Graduate
A00867,Male,No,3+,Not Graduate
A00868,Male,No,3+,Graduate
A00869,Female,No,1,Not Graduate
A00870,Female,Yes,1,Graduate
A00871,Male,Yes,3+,Graduate
A00872,Male,No,3+,Not Graduate
A00873,Female,No,2,Not Graduate
A00874,Female,Yes,0,Not Graduate
A00875,Female,No,0,Not Graduate
A00876,Male,Yes,1,Not Graduate
A00877,Male,No,1,Not Graduate
A00878,Female,No,2,Graduate
A00879,Female,No,3+,Not Graduate
A00880,Male,No,0,Not Graduate
A00881,Male,Yes,1,Graduate
A00882,Male,Yes,2,Graduate
A00883,Female,Yes,1,Graduate
A00884,Female,Yes,1,Graduate
A00885,Male,No,0,Not Graduate
A00886,Male,Yes,1,Graduate
A00887,Male,Yes,1,Graduate
A00888,Female,No,2,Not Graduate
A00889,Female,No,3+,Not Graduate
A00890,Female,No,1,Graduate
A00891,Female,No,2,Not Graduate
A00892,Female,Yes,1,Graduate
A00893,Female,Yes,3+,Not Graduate
A00894,Male,Yes,0,Not Graduate
A00895,Male,No,0,Not Graduate
A00896,Male,No,0,Graduate
A00897,Male,Yes,3+,Graduate
A00898,Male,No,2,Not Graduate
A00899,Male,Yes,2,Graduate
A00900,Male,Yes,0,Not Graduate
A00901,Female,No,1,Not Graduate
A00902,Female,Yes,1,Not Graduate
A00903,Male,No,2,Not Graduate
A00904,Female,No,0,Not Graduate
A00905,Female,No,0,Not Graduate
A00906,Female,Yes,0,Graduate
A00907,Female,No,2,Graduate
A00908,Male,No,1,Graduate
A00909,Male,Yes,2,Graduate
A00910,Female,Yes,0,Graduate
A00911,Male,Yes,2,Not Graduate
A00912,Female,Yes,1,Graduate
A00913,Female,No,3+,Graduate
A00914,Female,Yes,3+,Graduate
A00915,Male,Yes,3+,Not Graduate
A00916,Male,Yes,2,Not Graduate
A00917,Female,No,1,Graduate
A00918,Female,No,3+,Graduate
A00919,Male,No,0,Graduate
A00920,Female,Yes,3+,Graduate
A00921,Female,No,3+,Not Graduate
A00922,Female,No,2,Not Graduate
A00923,Female,Yes,1,Graduate
A00924,Female,Yes,0,Graduate
A00925,Male,No,1,Not Graduate
A00926,Female,Yes,0,Not Graduate
A00927,Male,No,3+,Not Graduate
A00928,Female,Yes,0,Graduate
A00929,Male,No,2,Not Graduate
A00930,Male,Yes,1,Graduate
A00931,Female,Yes,2,Not Graduate
A00932,Female,No,3+,Graduate
A00933,Female,Yes,3+,Not Graduate
A00934,Female,Yes,2,Graduate
A00935,Female,Yes,0,Graduate
A00936,Male,Yes,2,Graduate
A00937,Female,No,0,Graduate
A00938,Female,Yes,0,Graduate
A00939,Female,No,1,Not Graduate
A00940,Female,Yes,3+,Not Graduate
A00941,Female,No,1,Graduate
A00942,Male,No,0,Not Graduate
A00943,Female,No,2,Graduate
A00944,Male,Yes,2,Graduate
A00945,Female,No,1,Graduate
A00946,Female,Yes,1,Graduate
A00947,Female,No,2,Graduate
A00948,Male,No,3+,Graduate
A00949,Male,Yes,3+,Graduate
A00950,Male,No,2,Graduate
A00951,Male,No,1,Not Graduate
A00952,Male,No,3+,Graduate
A00953,Female,No,2,Graduate
A00954,Male,Yes,3+,Graduate
A00955,Female,Yes,2,Not Graduate
A00956,Female,Yes,0,Not Graduate
A00957,Male,Yes,1,Not Graduate
A00958,Female,No,3+,Graduate
A00959,Female,Yes,3+,Graduate
A00960,Male,No,2,Graduate
A00961,Female,No,1,Not Graduate
A00962,Male,Yes,2,Graduate
A00963,Male,Yes,2,Not Graduate
A00964,Female,Yes,2,Graduate
A00965,Female,Yes,2,Not Graduate
A00966,Male,Yes,2,Graduate
A00967,Male,Yes,1,Not Graduate
A00968,Male,No,2,Not Graduate
A00969,Male,No,1,Not Graduate
A00970,Male,No,0,Not Graduate
A00971,Female,Yes,1,Not Graduate
A00972,Female,No,1,Graduate
A00973,Male,Yes,2,Not Graduate
A00974,Male,No,3+,Graduate
A00975,Male,No,2,Not Graduate
A00976,Female,No,3+,Graduate
A00977,Female,No,3+,Not Graduate
A00978,Male,No,3+,Graduate
A00979,Female,No,1,Not Graduate
A00980,Female,Yes,0,Not Graduate
A00981,Male,No,0,Graduate
A00982,Male,No,1,Not Graduate
A00983,Male,No,2,Graduate
A00984,Female,No,2,Graduate
A00985,Female,Yes,2,Graduate
A00986,Female,Yes,2,Graduate
A00987,Female,Yes,2,Graduate
A00988,Male,Yes,0,Graduate
A00989,Female,No,0,Not Graduate
A00990,Female,Yes,1,Not Graduate
A00991,Female,No,3+,Graduate
A00992,Female,No,0,Graduate
A00993,Female,No,3+,Not Graduate
A00994,Male,No,0,Graduate
A00995,Male,No,0,Not Graduate
A00996,Male,Yes,3+,Not Graduate
A00997,Female,Yes,1,Not Graduate
A00998,Male,Yes,0,Not Graduate
A00999,Male,No,0,Graduate
A01000,Male,No,2,Not Graduate
